aX,aY,aZ,gX,gY,gZ
0.086,-0.84,0.22,-10.498,-21.79,-19.714
0.1,-0.8,0.203,-19.287,-24.536,-13.977
0.075,-0.799,0.211,-22.461,-24.719,-7.935
-0.815,-1.711,0.277,90.881,58.105,-11.963
-1.038,-1.957,0.325,110.84,59.387,-5.981
-1.218,-2.058,0.248,129.395,58.289,0.488
-1.409,-2.118,0.106,154.602,58.289,2.441
-1.587,-2.212,-0.002,183.35,61.768,1.282
-1.775,-2.264,-0.121,204.346,65.918,0
-1.986,-2.324,-0.229,213.562,66.833,-2.808
-2.272,-2.312,-0.295,210.51,61.401,-6.592
-2.538,-2.197,-0.387,199.463,51.941,-12.817
-2.724,-1.995,-0.516,191.528,44.922,-20.569
-2.912,-1.711,-0.665,190.918,44.373,-24.475
-2.989,-1.37,-0.791,193.726,54.138,-20.996
-2.901,-0.975,-0.845,200.378,73.73,-13.123
-2.693,-0.47,-0.937,214.661,95.581,-5.066
-2.29,0.029,-1.114,237.305,118.958,16.479
-1.55,0.241,-1.014,250.732,141.968,67.322
-0.449,0.422,-0.873,245.422,145.142,123.108
0.945,0.628,-0.841,231.079,114.868,161.804
1.99,0.725,-0.927,206.848,52.551,181.702
2.611,0.729,-1.038,158.203,-13.245,187.195
3.064,0.924,-0.892,77.271,-39.429,191.406
3.561,1.288,-0.491,-2.747,-14.404,202.087
3.88,1.684,0,-46.753,20.691,218.567
4,1.609,0.456,-50.11,45.776,261.353
4,1.054,0.828,-36.133,55.969,330.872
4,0.254,1.272,-16.479,58.838,380.493
4,-0.635,1.617,17.151,61.34,379.211
3.529,-1.339,1.517,66.956,58.533,335.571
3.024,-1.808,1.145,129.578,49.377,278.503
2.372,-2.13,0.696,183.594,25.574,231.506
2.098,-2.529,0.346,200.256,15.869,186.768
1.525,-1.936,0.267,140.198,-16.663,96.069
0.735,-1.003,-0.159,42.542,-60.059,-23.804
-0.095,0.114,-0.682,-36.072,-95.215,-111.755
-0.705,0.925,-1.031,-72.021,-111.877,-139.221
-1.059,1.122,-0.954,-70.129,-100.525,-110.779
-0.847,0.935,-0.739,-44.922,-66.833,-57.19
-0.511,0.645,-0.558,-4.944,-19.653,-1.038
-0.129,0.262,-0.474,44.495,27.283,41.626
0.262,-0.11,-0.471,82.275,58.594,64.453
0.647,-0.51,-0.477,100.708,71.35,77.82
0.892,-0.836,-0.447,98.083,61.523,79.224
0.955,-1.011,-0.482,83.862,44.983,65.796
0.915,-1.018,-0.528,62.805,26.062,38.147
0.846,-0.867,-0.604,33.691,1.526,5.798
0.712,-0.665,-0.725,10.498,-16.479,-14.954
0.621,-0.595,-0.805,4.395,-20.447,-23.865
0.58,-0.568,-0.9,4.883,-18.127,-30.518
0.576,-0.576,-0.944,8.728,-11.047,-38.086
0.559,-0.586,-0.966,7.568,-6.592,-45.959
0.559,-0.597,-0.962,2.258,-2.869,-48.462
0.571,-0.61,-0.927,-2.686,2.563,-46.753
0.593,-0.627,-0.868,-5.188,8.545,-43.945
0.631,-0.63,-0.797,-6.47,13.428,-44.128
0.677,-0.601,-0.744,-7.996,14.465,-44.617
0.695,-0.595,-0.703,-10.62,11.658,-42.053
0.692,-0.613,-0.657,-13.611,4.395,-40.955
0.698,-0.606,-0.636,-17.334,-4.089,-43.396
0.712,-0.577,-0.619,-20.02,-11.597,-46.265
0.68,-0.541,-0.615,-23.865,-19.47,-48.279
0.636,-0.51,-0.609,-23.987,-20.813,-49.377
0.607,-0.509,-0.589,-18.066,-15.991,-50.232
0.615,-0.525,-0.568,-9.644,-10.132,-53.711
0.639,-0.493,-0.572,-3.54,-7.446,-57.8
0.639,-0.469,-0.586,0.366,-7.751,-59.387
0.623,-0.49,-0.57,3.601,-8.423,-58.411
0.632,-0.516,-0.556,5.249,-10.071,-57.861
0.669,-0.532,-0.524,3.662,-12.817,-57.922
0.706,-0.533,-0.489,-2.625,-17.273,-57.19
0.732,-0.548,-0.443,-12.207,-25.635,-55.603
0.717,-0.561,-0.404,-24.597,-38.391,-53.528
0.681,-0.554,-0.389,-37.598,-53.955,-52.002
0.624,-0.522,-0.396,-47.241,-68.604,-51.697
0.577,-0.482,-0.412,-49.011,-78.186,-53.223
0.553,-0.449,-0.458,-42.48,-80.994,-55.237
0.519,-0.421,-0.498,-30.212,-76.599,-56.396
0.485,-0.445,-0.501,-15.625,-65.491,-56.763
0.471,-0.538,-0.467,-1.77,-50.415,-56.824
0.48,-0.648,-0.41,7.812,-36.499,-56.03
0.51,-0.713,-0.369,8.545,-29.175,-55.481
0.545,-0.766,-0.331,1.831,-29.724,-56.519
0.572,-0.762,-0.311,-9.033,-38.818,-58.655
0.588,-0.686,-0.331,-23.987,-53.833,-59.326
0.595,-0.615,-0.373,-37.476,-68.604,-58.228
0.577,-0.547,-0.419,-42.053,-79.895,-55.664
0.506,-0.585,-0.427,-36.56,-84.473,-51.758
0.41,-0.706,-0.406,-26.123,-82.336,-48.645
